id,left,top,right,bottom,dummy,tile_id
5154,-149.000416,62.000416,-147.999584,60.999584,dummy,N61W149
5155,-149.000416,61.000416,-147.999584,59.999584,dummy,N60W149
5311,-148.000416,76.000416,-146.999584,74.999584,dummy,N75W148
5312,-148.000416,75.000416,-146.999584,73.999584,dummy,N74W148
5313,-148.000416,74.000416,-146.999584,72.999584,dummy,N73W148
5314,-148.000416,73.000416,-146.999584,71.999584,dummy,N72W148
5315,-148.000416,72.000416,-146.999584,70.999584,dummy,N71W148
5316,-148.000416,71.000416,-146.999584,69.999584,dummy,N70W148
5317,-148.000416,70.000416,-146.999584,68.999584,dummy,N69W148
5318,-148.000416,69.000416,-146.999584,67.999584,dummy,N68W148
5319,-148.000416,68.000416,-146.999584,66.999584,dummy,N67W148
5320,-148.000416,67.000416,-146.999584,65.999584,dummy,N66W148
5321,-148.000416,66.000416,-146.999584,64.999584,dummy,N65W148
5322,-148.000416,65.000416,-146.999584,63.999584,dummy,N64W148
5323,-148.000416,64.000416,-146.999584,62.999584,dummy,N63W148
5324,-148.000416,63.000416,-146.999584,61.999584,dummy,N62W148
5325,-148.000416,62.000416,-146.999584,60.999584,dummy,N61W148
5326,-148.000416,61.000416,-146.999584,59.999584,dummy,N60W148
5327,-148.000416,60.000416,-146.999584,58.999584,dummy,N59W148
5328,-148.000416,59.000416,-146.999584,57.999584,dummy,N58W148
5329,-148.000416,58.000416,-146.999584,56.999584,dummy,N57W148
5482,-147.000416,76.000416,-145.999584,74.999584,dummy,N75W147
5483,-147.000416,75.000416,-145.999584,73.999584,dummy,N74W147
5484,-147.000416,74.000416,-145.999584,72.999584,dummy,N73W147
5485,-147.000416,73.000416,-145.999584,71.999584,dummy,N72W147
5486,-147.000416,72.000416,-145.999584,70.999584,dummy,N71W147
5487,-147.000416,71.000416,-145.999584,69.999584,dummy,N70W147
5488,-147.000416,70.000416,-145.999584,68.999584,dummy,N69W147
5489,-147.000416,69.000416,-145.999584,67.999584,dummy,N68W147
5490,-147.000416,68.000416,-145.999584,66.999584,dummy,N67W147
5491,-147.000416,67.000416,-145.999584,65.999584,dummy,N66W147
5492,-147.000416,66.000416,-145.999584,64.999584,dummy,N65W147
5493,-147.000416,65.000416,-145.999584,63.999584,dummy,N64W147
5494,-147.000416,64.000416,-145.999584,62.999584,dummy,N63W147
5495,-147.000416,63.000416,-145.999584,61.999584,dummy,N62W147
5496,-147.000416,62.000416,-145.999584,60.999584,dummy,N61W147
5497,-147.000416,61.000416,-145.999584,59.999584,dummy,N60W147
5498,-147.000416,60.000416,-145.999584,58.999584,dummy,N59W147
5499,-147.000416,59.000416,-145.999584,57.999584,dummy,N58W147
5500,-147.000416,58.000416,-145.999584,56.999584,dummy,N57W147
5653,-146.000416,76.000416,-144.999584,74.999584,dummy,N75W146
5654,-146.000416,75.000416,-144.999584,73.999584,dummy,N74W146
5655,-146.000416,74.000416,-144.999584,72.999584,dummy,N73W146
5656,-146.000416,73.000416,-144.999584,71.999584,dummy,N72W146
5657,-146.000416,72.000416,-144.999584,70.999584,dummy,N71W146
5658,-146.000416,71.000416,-144.999584,69.999584,dummy,N70W146
5659,-146.000416,70.000416,-144.999584,68.999584,dummy,N69W146
5660,-146.000416,69.000416,-144.999584,67.999584,dummy,N68W146
5661,-146.000416,68.000416,-144.999584,66.999584,dummy,N67W146
5662,-146.000416,67.000416,-144.999584,65.999584,dummy,N66W146
5663,-146.000416,66.000416,-144.999584,64.999584,dummy,N65W146
5664,-146.000416,65.000416,-144.999584,63.999584,dummy,N64W146
5665,-146.000416,64.000416,-144.999584,62.999584,dummy,N63W146
5666,-146.000416,63.000416,-144.999584,61.999584,dummy,N62W146
5667,-146.000416,62.000416,-144.999584,60.999584,dummy,N61W146
5668,-146.000416,61.000416,-144.999584,59.999584,dummy,N60W146
5669,-146.000416,60.000416,-144.999584,58.999584,dummy,N59W146
5670,-146.000416,59.000416,-144.999584,57.999584,dummy,N58W146
5671,-146.000416,58.000416,-144.999584,56.999584,dummy,N57W146
5824,-145.000416,76.000416,-143.999584,74.999584,dummy,N75W145
5825,-145.000416,75.000416,-143.999584,73.999584,dummy,N74W145
5826,-145.000416,74.000416,-143.999584,72.999584,dummy,N73W145
5827,-145.000416,73.000416,-143.999584,71.999584,dummy,N72W145
5828,-145.000416,72.000416,-143.999584,70.999584,dummy,N71W145
5829,-145.000416,71.000416,-143.999584,69.999584,dummy,N70W145
5830,-145.000416,70.000416,-143.999584,68.999584,dummy,N69W145
5831,-145.000416,69.000416,-143.999584,67.999584,dummy,N68W145
5832,-145.000416,68.000416,-143.999584,66.999584,dummy,N67W145
5833,-145.000416,67.000416,-143.999584,65.999584,dummy,N66W145
5834,-145.000416,66.000416,-143.999584,64.999584,dummy,N65W145
5835,-145.000416,65.000416,-143.999584,63.999584,dummy,N64W145
5836,-145.000416,64.000416,-143.999584,62.999584,dummy,N63W145
5837,-145.000416,63.000416,-143.999584,61.999584,dummy,N62W145
5838,-145.000416,62.000416,-143.999584,60.999584,dummy,N61W145
5839,-145.000416,61.000416,-143.999584,59.999584,dummy,N60W145
5840,-145.000416,60.000416,-143.999584,58.999584,dummy,N59W145
