id,left,top,right,bottom,dummy,tile_id
5829,-145.000416,71.000416,-143.999584,69.999584,dummy,N70W145
5830,-145.000416,70.000416,-143.999584,68.999584,dummy,N69W145
5831,-145.000416,69.000416,-143.999584,67.999584,dummy,N68W145
5832,-145.000416,68.000416,-143.999584,66.999584,dummy,N67W145
5833,-145.000416,67.000416,-143.999584,65.999584,dummy,N66W145
5834,-145.000416,66.000416,-143.999584,64.999584,dummy,N65W145
5835,-145.000416,65.000416,-143.999584,63.999584,dummy,N64W145
5836,-145.000416,64.000416,-143.999584,62.999584,dummy,N63W145
5837,-145.000416,63.000416,-143.999584,61.999584,dummy,N62W145
5838,-145.000416,62.000416,-143.999584,60.999584,dummy,N61W145
5839,-145.000416,61.000416,-143.999584,59.999584,dummy,N60W145
6521,-141.000416,63.000416,-139.999584,61.999584,dummy,N62W141
7198,-137.000416,70.000416,-135.999584,68.999584,dummy,N69W137
8223,-131.000416,71.000416,-129.999584,69.999584,dummy,N70W131
8394,-130.000416,71.000416,-128.999584,69.999584,dummy,N70W130
8906,-127.000416,72.000416,-125.999584,70.999584,dummy,N71W127
13688,-99.000416,78.000416,-97.999584,76.999584,dummy,N77W099
14776,-93.000416,16.000416,-91.999584,14.999584,dummy,N15W093
14777,-93.000416,15.000416,-91.999584,13.999584,dummy,N14W093
14947,-92.000416,16.000416,-90.999584,14.999584,dummy,N15W092
14948,-92.000416,15.000416,-90.999584,13.999584,dummy,N14W092
15116,-91.000416,18.000416,-89.999584,16.999584,dummy,N17W091
15117,-91.000416,17.000416,-89.999584,15.999584,dummy,N16W091
15287,-90.000416,18.000416,-88.999584,16.999584,dummy,N17W090
15458,-89.000416,18.000416,-87.999584,16.999584,dummy,N17W089
16263,-84.000416,68.000416,-82.999584,66.999584,dummy,N67W084
16434,-83.000416,68.000416,-81.999584,66.999584,dummy,N67W083
16610,-82.000416,63.000416,-80.999584,61.999584,dummy,N62W082
17957,-74.000416,84.000416,-72.999584,82.999584,dummy,N83W074
18128,-73.000416,84.000416,-71.999584,82.999584,dummy,N83W073
18299,-72.000416,84.000416,-70.999584,82.999584,dummy,N83W072
18470,-71.000416,84.000416,-69.999584,82.999584,dummy,N83W071
19690,-64.000416,61.000416,-62.999584,59.999584,dummy,N60W064
20041,-62.000416,52.000416,-60.999584,50.999584,dummy,N51W062
20212,-61.000416,52.000416,-59.999584,50.999584,dummy,N51W061
20383,-60.000416,52.000416,-58.999584,50.999584,dummy,N51W060
20554,-59.000416,52.000416,-57.999584,50.999584,dummy,N51W059
20725,-58.000416,52.000416,-56.999584,50.999584,dummy,N51W058
21068,-56.000416,51.000416,-54.999584,49.999584,dummy,N50W056
N80W068
N80W067
N81W065
N81W064
N81W063
N82W061
N16W092
N67W135
N67W136
N68W136
N68W135
N68W134
N69W136
N69W135
N69W133
7883,-133.000416,69.000416,-131.999584,67.999584,dummy,N68W133
10826,-116.000416,33.000416,-114.999584,31.999584,dummy,N32W116
10827,-116.000416,32.000416,-114.999584,30.999584,dummy,N31W116
10998,-115.000416,32.000416,-113.999584,30.999584,dummy,N31W115
11169,-114.000416,32.000416,-112.999584,30.999584,dummy,N31W114
11174,-114.000416,27.000416,-112.999584,25.999584,dummy,N26W114
11686,-111.000416,28.000416,-109.999584,26.999584,dummy,N27W111
11858,-110.000416,27.000416,-108.999584,25.999584,dummy,N26W110
11859,-110.000416,26.000416,-108.999584,24.999584,dummy,N25W110
12030,-109.000416,26.000416,-107.999584,24.999584,dummy,N25W109
12202,-108.000416,25.000416,-106.999584,23.999584,dummy,N24W108
12546,-106.000416,23.000416,-104.999584,21.999584,dummy,N22W106
12547,-106.000416,22.000416,-104.999584,20.999584,dummy,N21W106
13356,-101.000416,68.000416,-99.999584,66.999584,dummy,N67W101
13697,-99.000416,69.000416,-97.999584,67.999584,dummy,N68W099
14260,-96.000416,19.000416,-94.999584,17.999584,dummy,N18W096
14602,-94.000416,19.000416,-92.999584,17.999584,dummy,N18W094
14603,-94.000416,18.000416,-92.999584,16.999584,dummy,N17W094
14773,-93.000416,19.000416,-91.999584,17.999584,dummy,N18W093
14774,-93.000416,18.000416,-91.999584,16.999584,dummy,N17W093
14943,-92.000416,20.000416,-90.999584,18.999584,dummy,N19W092
14944,-92.000416,19.000416,-90.999584,17.999584,dummy,N18W092
14945,-92.000416,18.000416,-90.999584,16.999584,dummy,N17W092
15112,-91.000416,22.000416,-89.999584,20.999584,dummy,N21W091
15113,-91.000416,21.000416,-89.999584,19.999584,dummy,N20W091
15114,-91.000416,20.000416,-89.999584,18.999584,dummy,N19W091
15283,-90.000416,22.000416,-88.999584,20.999584,dummy,N21W090
15284,-90.000416,21.000416,-88.999584,19.999584,dummy,N20W090
15454,-89.000416,22.000416,-87.999584,20.999584,dummy,N21W089
15455,-89.000416,21.000416,-87.999584,19.999584,dummy,N20W089
15456,-89.000416,20.000416,-87.999584,18.999584,dummy,N19W089
15457,-89.000416,19.000416,-87.999584,17.999584,dummy,N18W089
15625,-88.000416,22.000416,-86.999584,20.999584,dummy,N21W088
15626,-88.000416,21.000416,-86.999584,19.999584,dummy,N20W088
15627,-88.000416,20.000416,-86.999584,18.999584,dummy,N19W088
15628,-88.000416,19.000416,-86.999584,17.999584,dummy,N18W088
15796,-87.000416,22.000416,-85.999584,20.999584,dummy,N21W087
15797,-87.000416,21.000416,-85.999584,19.999584,dummy,N20W087
