id,left,top,right,bottom,dummy,tile_id
19732,-64.000416,19.000416,-62.999584,17.999584,dummy,N18W064
19732,-64.000416,19.000416,-62.999584,17.999584,dummy,N18W063
20076,-62.000416,17.000416,-60.999584,15.999584,dummy,N16W062
20077,-62.000416,16.000416,-60.999584,14.999584,dummy,N15W062
20078,-62.000416,15.000416,-60.999584,13.999584,dummy,N14W062
20249,-61.000416,15.000416,-59.999584,13.999584,dummy,N14W061
30309,-2.000416,44.000416,-0.99958400000003,42.999584,dummy,N43W002
30814,0.999584,52.000416,2.000416,50.999584,dummy,N51E001
30985,1.999584,52.000416,3.000416,50.999584,dummy,N51E002
31165,2.999584,43.000416,4.000416,41.999584,dummy,N42E003
31848,6.999584,44.000416,8.000416,42.999584,dummy,N43E007
32021,7.999584,42.000416,9.000416,40.999584,dummy,N41E008
32190,8.999584,44.000416,10.000416,42.999584,dummy,N43E009
32192,8.999584,42.000416,10.000416,40.999584,dummy,N41E009
32192,8.999584,42.000416,10.000416,40.999584,dummy,N04W052
32192,8.999584,42.000416,10.000416,40.999584,dummy,N05W054
